state,lga,lga_pcode,total_idps_all_time,mean_idps_per_event,max_idps_single_event,num_events,first_event_date,last_event_date,most_common_hazard,years_covered,events_per_year
Adamawa,Demsa,NGA002001,755842,10354.0,20250,73,2017-01-01,2024-11-30,Conflict,7.912388774811773,9.23
Adamawa,Fufore,NGA002002,407636,4632.227272727273,9002,88,2017-01-01,2024-11-30,Conflict,7.912388774811773,11.12
Adamawa,Ganye,NGA002003,51878,720.5277777777778,10174,72,2017-01-01,2024-11-30,Conflict,7.912388774811773,9.1
Adamawa,Girei,NGA002005,890686,9896.511111111111,21069,90,2017-01-01,2024-11-30,Conflict,7.912388774811773,11.37
Adamawa,Gombi,NGA002004,342144,4172.487804878048,21069,82,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.36
Adamawa,Guyuk,NGA002006,230850,2198.5714285714284,8314,105,2017-01-01,2024-11-30,Conflict,7.912388774811773,13.27
Adamawa,Hong,NGA002007,246749,3009.1341463414633,5485,82,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.36
Adamawa,Jada,NGA002008,36766,343.60747663551405,9234,107,2017-01-01,2024-11-30,Conflict,7.912388774811773,13.52
Adamawa,Lamurde,NGA002009,230594,3116.135135135135,13922,74,2017-01-01,2024-11-30,Conflict,7.912388774811773,9.35
Adamawa,Madagali,NGA002010,1071340,16232.424242424242,19345,66,2017-01-01,2024-11-30,Conflict,7.912388774811773,8.34
Adamawa,Maiha,NGA002011,961760,11449.52380952381,20167,84,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.62
Adamawa,Mayo-Belwa,NGA002012,76436,868.5909090909091,3407,88,2017-01-01,2024-11-30,Conflict,7.912388774811773,11.12
Adamawa,Michika,NGA002013,1422840,17351.70731707317,27171,82,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.36
Adamawa,Mubi North,NGA002014,696718,8601.456790123457,12985,81,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.24
Adamawa,Mubi South,NGA002015,407472,5030.518518518518,12711,81,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.24
Adamawa,Numan,NGA002016,1053842,16466.28125,27753,64,2017-01-01,2024-11-30,Conflict,7.912388774811773,8.09
Adamawa,Shelleng,NGA002017,243711,3249.48,10854,75,2017-01-01,2024-11-30,Conflict,7.912388774811773,9.48
Adamawa,Song,NGA002018,174992,1576.5045045045044,10010,111,2017-01-01,2024-11-30,Conflict,7.912388774811773,14.03
Adamawa,Toungo,NGA002019,36740,602.2950819672132,6870,61,2017-01-01,2024-11-30,Conflict,7.912388774811773,7.71
Adamawa,Yola North,NGA002020,625403,7357.682352941177,13258,85,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.74
Adamawa,Yola South,NGA002021,1349190,15507.931034482759,28067,87,2017-01-01,2024-11-30,Conflict,7.912388774811773,11.0
Bauchi,Alkaleri,NGA005001,31784,311.6078431372549,2132,102,2017-01-01,2024-11-30,Conflict,7.912388774811773,12.89
Bauchi,Bauchi,NGA005002,632859,7110.775280898876,12047,89,2017-01-01,2024-11-30,Conflict,7.912388774811773,11.25
Bauchi,Bogoro,NGA005003,114186,1130.5544554455446,2586,101,2017-01-01,2024-11-30,Conflict,7.912388774811773,12.76
Bauchi,Damban,NGA005004,183376,2236.2926829268295,3230,82,2017-01-01,2024-11-30,Conflict,7.912388774811773,10.36
