id,operation,admin0Name,admin0Pcode,state,state_pcode,lga,lga_pcode,idps_present,date,year,month,dtm_round,displacement_reason,males,females,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessment_type,total_population,has_gender_data,primary_hazard,is_conflict,is_flood,is_insecurity,quarter
177,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Ganjuwa,NGA005008,1299,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
473,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Damboa,NGA008007,55887,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
2640,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Tarmua,NGA036015,541,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
2758,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Toro,NGA005018,9385,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
3293,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Shomgom,NGA016010,331,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
15445,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Askira/Uba,NGA008002,6810,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
16163,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Michika,NGA002013,27171,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
19668,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Damban,NGA005004,3144,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
21118,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Bayo,NGA008004,1182,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
22955,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Gamawa,NGA005007,1609,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
24289,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Gassol,NGA035005,6102,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
25668,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Maiduguri,NGA008021,445314,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
27172,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Hong,NGA002007,3852,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
27737,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Wukari,NGA035014,15684,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
29230,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Jere,NGA008013,335765,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
31395,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Geidam,NGA036006,6625,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
38210,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Potiskum,NGA036014,15947,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
38762,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Gujba,NGA036007,12740,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
40818,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Yola South,NGA002021,16780,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
42767,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Gashaka,NGA035004,649,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
44645,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Machina,NGA036011,1299,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
46132,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Ardo-Kola,NGA035001,4110,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
48291,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Dikwa,NGA008008,116697,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
48296,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Ningi,NGA005015,4013,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
54859,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Guyuk,NGA002006,253,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
56032,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Billiri,NGA016003,421,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
64151,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Kukawa,NGA008017,14063,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
64754,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Bogoro,NGA005003,2586,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
66980,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Fune,NGA036005,4880,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
68793,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Yunusari,NGA036016,2856,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
69072,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Itas/Gadau,NGA005010,1456,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
69090,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Dass,NGA005006,685,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
74076,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Shira,NGA005016,1130,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
76962,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Alkaleri,NGA005001,204,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
77356,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Demsa,NGA002001,1860,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
78762,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Ibi,NGA035006,4127,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
81616,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Zing,NGA035016,384,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
81853,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Madagali,NGA002010,18835,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
84866,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Nafada,NGA016009,1769,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
88913,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Numan,NGA002016,1010,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
89072,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Monguno,NGA008024,135463,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
91086,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Kurmi,NGA035009,988,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
91774,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Kwaya Kusar,NGA008018,2250,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
94919,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Damaturu,NGA036003,19441,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
98502,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Zaki,NGA005020,2207,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
98811,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Karasuwa,NGA036010,5325,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
100007,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Gulani,NGA036008,3187,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
101750,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Biu,NGA008005,41962,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
102621,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Takum,NGA035012,210,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
103854,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Shelleng,NGA002017,910,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
107826,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Nganzai,NGA008026,5906,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
108110,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Katagum,NGA005012,3267,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
108538,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Dukku,NGA016004,434,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
109122,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Nguru,NGA036013,11207,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
109448,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Kwami,NGA016008,1305,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
110375,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Jakusko,NGA036009,1403,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
112457,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Mayo-Belwa,NGA002012,426,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
117143,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Kaga,NGA008014,19308,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
123281,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Hawul,NGA008012,29111,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
133676,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Mubi North,NGA002014,11124,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
133872,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Song,NGA002018,2047,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
134623,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Bade,NGA036001,17175,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
134805,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Sardauna,NGA035011,548,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
134964,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Maiha,NGA002011,15543,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
139724,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Fufore,NGA002002,5034,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
142764,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Lamurde,NGA002009,571,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
143698,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Gombi,NGA002004,2602,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
143962,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Mafa,NGA008019,7490,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
147032,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Magumeri,NGA008020,2550,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
151617,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Nangere,NGA036012,2308,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
152798,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Ussa,NGA035013,184,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
154007,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Jama'are,NGA005011,775,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
159693,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Ganye,NGA002003,434,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
160420,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Lau,NGA035010,595,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
160606,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Shani,NGA008027,854,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
160648,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Kaltungo,NGA016007,999,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
160875,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Konduga,NGA008016,90514,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
161069,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Jalingo,NGA035007,9032,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
163607,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Gwoza,NGA008011,50449,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
165007,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Giade,NGA005009,996,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
167025,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Gombe,NGA016006,6171,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
167053,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Gubio,NGA008009,5690,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
173373,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Fika,NGA036004,6018,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
176172,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Balanga,NGA016002,1850,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
178570,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Jada,NGA002008,749,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
181832,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Donga,NGA035003,2387,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
182011,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Darazo,NGA005005,1709,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
187293,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Akko,NGA016001,7067,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
187355,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Bursari,NGA036002,1067,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
188570,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Ngala,NGA008025,63623,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
190363,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Bama,NGA008003,31992,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
191904,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Chibok,NGA008006,7995,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
201935,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Funakaye,NGA016005,4807,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
203963,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Yola North,NGA002020,11089,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
204503,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Girei,NGA002005,21069,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
204938,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Misau,NGA005014,2164,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
208999,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Bauchi,NGA005002,11242,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
214442,Lake Chad Basin Crisis,Nigeria,NGA,Borno,NGA008,Kala/Balge,NGA008015,35295,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
214605,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Toungo,NGA002019,405,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
214792,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Karim-Lamido,NGA035008,249,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
215466,Lake Chad Basin Crisis,Nigeria,NGA,Gombe,NGA016,Yamaltu/Deba,NGA016011,3429,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
217662,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Yorro,NGA035015,272,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
217840,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Tafawa-Balewa,NGA005017,7971,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
221448,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Kirfi,NGA005013,471,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
225909,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Bali,NGA035002,2185,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
226895,Lake Chad Basin Crisis,Nigeria,NGA,Adamawa,NGA002,Mubi South,NGA002015,5764,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
232368,Lake Chad Basin Crisis,Nigeria,NGA,Bauchi,NGA005,Warji,NGA005019,516,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
234859,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Yusufari,NGA036017,995,2017-01-01,2017,1,14,Conflict,,,Not available,Not available,BA,0.0,False,Conflict,True,False,False,1
234086,Lake Chad Basin Crisis,Nigeria,NGA,Yobe,NGA036,Bursari,NGA036002,1067,2017-01-30,2017,1,14,Conflict,410.0,657.0,Not available,Not available,SA,1067.0,True,Conflict,True,False,False,1
233946,Lake Chad Basin Crisis,Nigeria,NGA,Taraba,NGA035,Wukari,NGA035014,15684,2017-01-30,2017,1,14,Conflict,7395.0,8289.0,Not available,Not available,SA,15684.0,True,Conflict,True,False,False,1
